"","location","avgPrice"
"1","Asemwald,Stuttgart",3065.69343065693
"2","Bad Cannstatt,Stuttgart",3098.27343022593
"3","Birkach,Stuttgart",3308.82352941176
"4","Botnang,Stuttgart",3715.27777777778
"5","Degerloch,Stuttgart",2910.57401398841
"6","Dürrlewang,Stuttgart",3580
"7","Fasanenhof,Stuttgart",3109.51760104302
"8","Feuerbach,Stuttgart",4235.81227161043
"9","Frauenkopf,Stuttgart",4722.22222222222
"10","Freiberg,Stuttgart",408432.315891473
"11","Hausen,Stuttgart",3516.94915254237
"12","Hedelfingen,Stuttgart",2954.97391276934
"13","Heumaden,Stuttgart",4751.76308091826
"14","Hofen,Stuttgart",3125.21008403361
"15","Hoffeld,Stuttgart",2302.32558139535
"16","Kaltental,Stuttgart",4506.84931506849
"17","Luginsland,Stuttgart",3483.14606741573
"18","Mitte,Stuttgart",4067.79478902991
"19","Möhringen,Stuttgart",3907.08818241128
"20","Mönchfeld,Stuttgart",3000
"21","Mühlhausen,Stuttgart",2760
"22","Neugereut,Stuttgart",2571.52924594785
"23","Nord,Stuttgart",5609.21659371107
"24","Obertürkheim,Stuttgart",1899.41055113469
"26","Plieningen,Stuttgart",3030.0666098107
"27","Riedenberg,Stuttgart",3494.82069575378
"28","Rohracker,Stuttgart",3118.92821084631
"29","Rohr,Stuttgart",4798.11868032149
"30","Rot,Stuttgart",2764.31051587302
"31","Schönberg,Stuttgart",4292.49070895416
"32","Sillenbuch,Stuttgart",6626.50602409639
"33","Sonnenberg,Stuttgart",4148.47104749512
"34","Stammheim,Stuttgart",2994.06158357771
"35","Steckfeld,Stuttgart",5173.91304347826
"36","Süd,Stuttgart",4434.20364017523
"37","Uhlbach,Stuttgart",2731.39717425432
"38","Untertürkheim,Stuttgart",2858.90291724742
"39","Vaihingen,Stuttgart",4457.14400830363
"40","Wangen,Stuttgart",2672.37822061192
"41","Weilimdorf,Stuttgart",3592.39818202666
"42","West,Stuttgart",5103.08564739074
"43","Zuffenhausen,Stuttgart",2752.96508856429
